set_slug,subset_slug,name,slug,description,aliases,related_slugs
theme,power-and-society,public space,public-space,,,
theme,power-and-society,authority,authority,,,
theme,care-and-relation,care,care,,,
theme,care-and-relation,kinship,kinship,,,
theme,care-and-relation,community,community,,,
theme,care-and-relation,friendship,friendship,,,
theme,care-and-relation,repair,repair,,,
theme,care-and-relation,support,support,,,
theme,care-and-relation,dependency,dependency,,,
theme,care-and-relation,hospitality,hospitality,,,
theme,care-and-relation,tenderness,tenderness,,,
theme,care-and-relation,responsibility,responsibility,,,
theme,care-and-relation,reciprocity,reciprocity,,,
theme,care-and-relation,listening,listening,,,
theme,care-and-relation,mutual aid,mutual-aid,,,
theme,care-and-relation,community care,community-care,,,
theme,care-and-relation,access,access,,,
theme,care-and-relation,consent,consent,,,
theme,care-and-relation,accountability,accountability,,,
theme,care-and-relation,grief work,grief-work,,,
theme,care-and-relation,social practice,social-practice,,,
theme,care-and-relation,participation,participation,,,
theme,care-and-relation,collective responsibility,collective-responsibility,,,
theme,care-and-relation,ethics,ethics,,,
theme,care-and-relation,interdependence,interdependence,,,
theme,belief-and-ritual,ritual,ritual,,,
theme,belief-and-ritual,spirituality,spirituality,,,
theme,belief-and-ritual,myth,myth,,,
theme,belief-and-ritual,prayer,prayer,,,
theme,belief-and-ritual,ceremony,ceremony,,,
theme,belief-and-ritual,sacred image,sacred-image,,,
theme,belief-and-ritual,iconoclasm,iconoclasm,,,
theme,belief-and-ritual,religious trauma,religious-trauma,,,
theme,belief-and-ritual,spiritual practice,spiritual-practice,,,
theme,belief-and-ritual,taboo,taboo,,,
theme,belief-and-ritual,magic,magic,,,
theme,belief-and-ritual,superstition,superstition,,,
theme,belief-and-ritual,repetition,repetition,,,
theme,belief-and-ritual,devotion,devotion,,,
theme,belief-and-ritual,mythology,mythology,,,
theme,belief-and-ritual,moral panic,moral-panic,,,
theme,belief-and-ritual,cult,cult,,,
theme,belief-and-ritual,secular ritual,secular-ritual,,,
theme,belief-and-ritual,belief systems,belief-systems,,,
theme,belief-and-ritual,ancestral knowledge,ancestral-knowledge,,,
theme,belief-and-ritual,offering,offering,,,
theme,belief-and-ritual,sacred space,sacred-space,,,
theme,language-and-image,text,text,,,
theme,language-and-image,translation,translation,,,
theme,language-and-image,storytelling,storytelling,,,
theme,language-and-image,symbol,symbol,,,
theme,language-and-image,sign,sign,,,
theme,language-and-image,code,code,,,
theme,language-and-image,misreading,misreading,,,
theme,language-and-image,instruction,instruction,,,
theme,language-and-image,voice,voice,,,
theme,language-and-image,naming,naming,,,
theme,language-and-image,caption,caption,,,
theme,language-and-image,illegibility,illegibility,,,
theme,language-and-image,misrepresentation,misrepresentation,,,
theme,language-and-image,stereotype,stereotype,,,
theme,language-and-image,refusal,refusal,,,
theme,language-and-image,counter-narrative,counter-narrative,,,
theme,language-and-image,image circulation,image-circulation,,,
theme,language-and-image,authorship,authorship,,,
theme,language-and-image,speaking back,speaking-back,,,
theme,technology-and-media,screen,screen,,,
theme,technology-and-media,internet,internet,,,
theme,technology-and-media,gaming,gaming,,,
theme,technology-and-media,social media,social-media,,,
theme,technology-and-media,AI,ai,,,
theme,technology-and-media,camera,camera,,,
theme,technology-and-media,algorithm,algorithm,,,
theme,technology-and-media,glitch,glitch,,,
theme,technology-and-media,data,data,,,
theme,technology-and-media,broadcast,broadcast,,,
theme,technology-and-media,interface,interface,,,
theme,technology-and-media,network,network,,,
theme,technology-and-media,digital surveillance,digital-surveillance,,,
theme,technology-and-media,algorithmic bias,algorithmic-bias,,,
theme,technology-and-media,data colonialism,data-colonialism,,,
theme,technology-and-media,platform culture,platform-culture,,,
theme,technology-and-media,online identity,online-identity,,,
theme,technology-and-media,misinformation,misinformation,,,
theme,technology-and-media,attention economy,attention-economy,,,
theme,technology-and-media,AI ethics,ai-ethics,,,
theme,technology-and-media,digital labour,digital-labour,,,
theme,technology-and-media,meme culture,meme-culture,,,
theme,technology-and-media,screen politics,screen-politics,,,
theme,time-and-change,decay,decay,,,
theme,time-and-change,growth,growth,,,
theme,time-and-change,duration,duration,,,
theme,time-and-change,erosion,erosion,,,
theme,time-and-change,ruin,ruin,,,
theme,time-and-change,weathering,weathering,,,
theme,time-and-change,ageing,ageing,,,
theme,time-and-change,cycle,cycle,,,
theme,time-and-change,delay,delay,,,
theme,time-and-change,accumulation,accumulation,,,
theme,time-and-change,impermanence,impermanence,,,
theme,time-and-change,futurity,futurity,,,
theme,time-and-change,history,history,,,
theme,time-and-change,return,return,,,
theme,time-and-change,survival,survival,,,
theme,time-and-change,collapse,collapse,,,
theme,time-and-change,renewal,renewal,,,
theme,time-and-change,aftermath,aftermath,,,
theme,time-and-change,legacy,legacy,,,
theme,time-and-change,maintenance,maintenance,,,
theme,time-and-change,entropy,entropy,,,
theme,feeling-and-atmosphere,joy,joy,,,
theme,feeling-and-atmosphere,anxiety,anxiety,,,
theme,feeling-and-atmosphere,boredom,boredom,,,
theme,feeling-and-atmosphere,desire,desire,,,
theme,feeling-and-atmosphere,shame,shame,,,
theme,feeling-and-atmosphere,fear,fear,,,
theme,feeling-and-atmosphere,melancholy,melancholy,,,
theme,feeling-and-atmosphere,humour,humour,,,
theme,feeling-and-atmosphere,suspense,suspense,,,
theme,feeling-and-atmosphere,awkwardness,awkwardness,,,
theme,feeling-and-atmosphere,wonder,wonder,,,
theme,feeling-and-atmosphere,tension,tension,,,
theme,feeling-and-atmosphere,anger,anger,,,
theme,feeling-and-atmosphere,alienation,alienation,,,
theme,feeling-and-atmosphere,discomfort,discomfort,,,
theme,feeling-and-atmosphere,hope,hope,,,
theme,feeling-and-atmosphere,dread,dread,,,
theme,feeling-and-atmosphere,longing,longing,,,
theme,feeling-and-atmosphere,exhaustion,exhaustion,,,
theme,feeling-and-atmosphere,pleasure,pleasure,,,
theme,feeling-and-atmosphere,uncertainty,uncertainty,,,
theme,labour-and-everyday-life,work,work,,,
theme,labour-and-everyday-life,routine,routine,,,
theme,labour-and-everyday-life,domestic labour,domestic-labour,,,
theme,labour-and-everyday-life,shopping,shopping,,,
theme,labour-and-everyday-life,transport,transport,,,
theme,labour-and-everyday-life,food,food,,,
theme,labour-and-everyday-life,cleaning,cleaning,,,
theme,labour-and-everyday-life,office,office,,,
theme,labour-and-everyday-life,service,service,,,
theme,labour-and-everyday-life,leisure,leisure,,,
theme,labour-and-everyday-life,unpaid labour,unpaid-labour,,,
theme,labour-and-everyday-life,care work,care-work,,,
theme,labour-and-everyday-life,consumer culture,consumer-culture,,,
theme,labour-and-everyday-life,precarity,precarity,,,
theme,labour-and-everyday-life,productivity,productivity,,,
theme,labour-and-everyday-life,bureaucracy,bureaucracy,,,
theme,labour-and-everyday-life,convenience,convenience,,,
theme,labour-and-everyday-life,ordinary life,ordinary-life,,,
theme,fantasy-and-worldbuilding,fantasy,fantasy,,,
theme,fantasy-and-worldbuilding,worldbuilding,worldbuilding,,,
theme,fantasy-and-worldbuilding,character,character,,,
theme,fantasy-and-worldbuilding,folklore,folklore,,,
theme,fantasy-and-worldbuilding,science fiction,science-fiction,,,
theme,fantasy-and-worldbuilding,horror,horror,,,
theme,fantasy-and-worldbuilding,anime,anime,,,
theme,fantasy-and-worldbuilding,cosplay,cosplay,,,
theme,fantasy-and-worldbuilding,dream,dream,,,
theme,fantasy-and-worldbuilding,speculative future,speculative-future,,,
theme,fantasy-and-worldbuilding,fan culture,fan-culture,,,
theme,fantasy-and-worldbuilding,role-play,role-play,,,
theme,fantasy-and-worldbuilding,avatar,avatar,,,
theme,fantasy-and-worldbuilding,monster,monster,,,
theme,fantasy-and-worldbuilding,alternative history,alternative-history,,,
theme,fantasy-and-worldbuilding,utopia,utopia,,,
theme,fantasy-and-worldbuilding,dystopia,dystopia,,,
theme,fantasy-and-worldbuilding,world-making,world-making,,,
theme,fantasy-and-worldbuilding,escapism,escapism,,,
theme,fantasy-and-worldbuilding,imaginary place,imaginary-place,,,
material,drawing-and-mark-making,graphite,graphite,,,
material,drawing-and-mark-making,charcoal,charcoal,,,
material,drawing-and-mark-making,ink,ink,,,
material,drawing-and-mark-making,pencil,pencil,,,
material,drawing-and-mark-making,marker,marker,,,
material,drawing-and-mark-making,line,line,,,
material,drawing-and-mark-making,gesture,gesture,,,
material,drawing-and-mark-making,notation,notation,,,
material,drawing-and-mark-making,scribble,scribble,,,
material,drawing-and-mark-making,stain,stain,,,
material,drawing-and-mark-making,rubbing,rubbing,,,
material,drawing-and-mark-making,diagram,diagram,,,
material,drawing-and-mark-making,contour,contour,,,
material,drawing-and-mark-making,pressure,pressure,,,
material,drawing-and-mark-making,smudge,smudge,,,
material,drawing-and-mark-making,hand-drawn mark,hand-drawn-mark,,,
material,drawing-and-mark-making,automatic mark,automatic-mark,,,
material,drawing-and-mark-making,annotation,annotation,,,
material,drawing-and-mark-making,sketch,sketch,,,
material,drawing-and-mark-making,diagrammatic image,diagrammatic-image,,,
material,painting-and-surface,paint,paint,,,
material,painting-and-surface,pigment,pigment,,,
material,painting-and-surface,canvas,canvas,,,
material,painting-and-surface,colour,colour,,,
material,painting-and-surface,texture,texture,,,
material,painting-and-surface,glaze,glaze,,,
material,painting-and-surface,wash,wash,,,
material,painting-and-surface,ground,ground,,,
material,painting-and-surface,skin,skin,,,
material,painting-and-surface,layer,layer,,,
material,painting-and-surface,sheen,sheen,,,
material,painting-and-surface,opacity,opacity,,,
material,painting-and-surface,transparency,transparency,,,
material,painting-and-surface,brushstroke,brushstroke,,,
material,painting-and-surface,impasto,impasto,,,
material,painting-and-surface,flatness,flatness,,,
material,painting-and-surface,surface tension,surface-tension,,,
material,painting-and-surface,underpainting,underpainting,,,
material,painting-and-surface,colour field,colour-field,,,
material,painting-and-surface,painted object,painted-object,,,
material,painting-and-surface,mural surface,mural-surface,,,
material,painting-and-surface,material surface,material-surface,,,
material,paper-and-print,paper,paper,,,
material,paper-and-print,cardboard,cardboard,,,
material,paper-and-print,book,book,,,
material,paper-and-print,zine,zine,,,
material,paper-and-print,poster,poster,,,
material,paper-and-print,photocopy,photocopy,,,
material,paper-and-print,risograph,risograph,,,
material,paper-and-print,screen print,screen-print,,,
material,paper-and-print,etching,etching,,,
material,paper-and-print,collage,collage,,,
material,paper-and-print,label,label,,,
material,paper-and-print,document,document,,,
material,paper-and-print,publication,publication,,,
material,paper-and-print,edition,edition,,,
material,paper-and-print,multiple,multiple,,,
material,paper-and-print,page,page,,,
material,paper-and-print,fold,fold,,,
material,paper-and-print,binding,binding,,,
material,paper-and-print,newsprint,newsprint,,,
material,paper-and-print,archive paper,archive-paper,,,
material,paper-and-print,printed matter,printed-matter,,,
material,paper-and-print,flyer,flyer,,,
material,paper-and-print,handout,handout,,,
material,paper-and-print,certificate,certificate,,,
material,fibre-and-textile,fabric,fabric,,,
material,fibre-and-textile,thread,thread,,,
material,fibre-and-textile,cloth,cloth,,,
material,fibre-and-textile,garment,garment,,,
material,fibre-and-textile,yarn,yarn,,,
material,fibre-and-textile,rope,rope,,,
material,fibre-and-textile,netting,netting,,,
material,fibre-and-textile,felt,felt,,,
material,fibre-and-textile,embroidery,embroidery,,,
material,fibre-and-textile,weaving,weaving,,,
material,fibre-and-textile,seam,seam,,,
material,fibre-and-textile,soft sculpture,soft-sculpture,,,
material,fibre-and-textile,stitch,stitch,,,
material,fibre-and-textile,mending,mending,,,
material,fibre-and-textile,quilting,quilting,,,
material,fibre-and-textile,knotting,knotting,,,
material,fibre-and-textile,fibre,fibre,,,
material,fibre-and-textile,textile repair,textile-repair,,,
material,fibre-and-textile,inherited cloth,inherited-cloth,,,
material,fibre-and-textile,domestic textile,domestic-textile,,,
material,fibre-and-textile,wearable object,wearable-object,,,
material,fibre-and-textile,banner,banner,,,
material,fibre-and-textile,flag,flag,,,
material,fibre-and-textile,tapestry,tapestry,,,
material,industrial-and-structural,wood,wood,,,
material,industrial-and-structural,metal,metal,,,
material,industrial-and-structural,concrete,concrete,,,
material,industrial-and-structural,plaster,plaster,,,
material,industrial-and-structural,glass,glass,,,
material,industrial-and-structural,mirror,mirror,,,
material,industrial-and-structural,steel,steel,,,
material,industrial-and-structural,timber,timber,,,
material,industrial-and-structural,frame,frame,,,
material,industrial-and-structural,scaffold,scaffold,,,
material,industrial-and-structural,hardware,hardware,,,
material,industrial-and-structural,architecture,architecture,,,
material,industrial-and-structural,beam,beam,,,
material,industrial-and-structural,structure,structure,,,
material,industrial-and-structural,module,module,,,
material,industrial-and-structural,fixture,fixture,,,
material,industrial-and-structural,bracket,bracket,,,
material,industrial-and-structural,hinge,hinge,,,
material,industrial-and-structural,grid,grid,,,
material,industrial-and-structural,wall,wall,,,
material,industrial-and-structural,plinth,plinth,,,
material,industrial-and-structural,infrastructure,infrastructure,,,
material,industrial-and-structural,built environment,built-environment,,,
material,clay-and-earth,clay,clay,,,
material,clay-and-earth,ceramic,ceramic,,,
material,clay-and-earth,earth,earth,,,
material,clay-and-earth,mud,mud,,,
material,clay-and-earth,vessel,vessel,,,
material,clay-and-earth,terracotta,terracotta,,,
material,clay-and-earth,porcelain,porcelain,,,
material,clay-and-earth,firing,firing,,,
material,clay-and-earth,brick,brick,,,
material,clay-and-earth,mineral,mineral,,,
material,clay-and-earth,dust,dust,,,
material,clay-and-earth,slip,slip,,,
material,clay-and-earth,kiln,kiln,,,
material,clay-and-earth,hand-built form,hand-built-form,,,
material,clay-and-earth,shard,shard,,,
material,clay-and-earth,tile,tile,,,
material,clay-and-earth,sediment,sediment,,,
material,clay-and-earth,soil body,soil-body,,,
material,clay-and-earth,fired surface,fired-surface,,,
material,clay-and-earth,unfired clay,unfired-clay,,,
material,clay-and-earth,earthen material,earthen-material,,,
material,clay-and-earth,geological matter,geological-matter,,,
material,found-and-everyday-objects,found object,found-object,,,
material,found-and-everyday-objects,packaging,packaging,,,
material,found-and-everyday-objects,furniture,furniture,,,
material,found-and-everyday-objects,toy,toy,,,
material,found-and-everyday-objects,tool,tool,,,
material,found-and-everyday-objects,receipt,receipt,,,
material,found-and-everyday-objects,container,container,,,
material,found-and-everyday-objects,clothing,clothing,,,
material,found-and-everyday-objects,domestic object,domestic-object,,,
material,found-and-everyday-objects,souvenir,souvenir,,,
material,found-and-everyday-objects,rubbish,rubbish,,,
material,found-and-everyday-objects,appliance,appliance,,,
material,found-and-everyday-objects,bag,bag,,,
material,found-and-everyday-objects,bottle,bottle,,,
material,found-and-everyday-objects,box,box,,,
material,found-and-everyday-objects,utensil,utensil,,,
material,found-and-everyday-objects,chair,chair,,,
material,found-and-everyday-objects,shelf,shelf,,,
material,found-and-everyday-objects,wrapper,wrapper,,,
material,found-and-everyday-objects,discarded object,discarded-object,,,
material,found-and-everyday-objects,personal object,personal-object,,,
material,found-and-everyday-objects,borrowed object,borrowed-object,,,
material,found-and-everyday-objects,everyday residue,everyday-residue,,,
material,lens-and-screen,photograph,photograph,,,
material,lens-and-screen,video,video,,,
material,lens-and-screen,projection,projection,,,
material,lens-and-screen,phone footage,phone-footage,,,
material,lens-and-screen,screenshot,screenshot,,,
material,lens-and-screen,film still,film-still,,,
material,lens-and-screen,animation,animation,,,
material,lens-and-screen,monitor,monitor,,,
material,lens-and-screen,slide,slide,,,
material,lens-and-screen,scan,scan,,,
material,lens-and-screen,image file,image-file,,,
material,lens-and-screen,lens,lens,,,
material,lens-and-screen,exposure,exposure,,,
material,lens-and-screen,edit,edit,,,
material,lens-and-screen,moving image,moving-image,,,
material,lens-and-screen,screen capture,screen-capture,,,
material,lens-and-screen,digital photograph,digital-photograph,,,
material,lens-and-screen,archival photograph,archival-photograph,,,
material,lens-and-screen,found image,found-image,,,
material,lens-and-screen,display screen,display-screen,,,
material,lens-and-screen,visual record,visual-record,,,
material,sound-and-voice,sound,sound,,,
material,sound-and-voice,song,song,,,
material,sound-and-voice,recording,recording,,,
material,sound-and-voice,noise,noise,,,
material,sound-and-voice,microphone,microphone,,,
material,sound-and-voice,speaker,speaker,,,
material,sound-and-voice,echo,echo,,,
material,sound-and-voice,speech,speech,,,
material,sound-and-voice,breath,breath,,,
material,sound-and-voice,field recording,field-recording,,,
material,sound-and-voice,spoken word,spoken-word,,,
material,sound-and-voice,chant,chant,,,
material,sound-and-voice,hum,hum,,,
material,sound-and-voice,whisper,whisper,,,
material,sound-and-voice,amplification,amplification,,,
material,sound-and-voice,audio loop,audio-loop,,,
material,sound-and-voice,oral testimony,oral-testimony,,,
material,sound-and-voice,soundscape,soundscape,,,
material,sound-and-voice,vibration,vibration,,,
material,sound-and-voice,resonance,resonance,,,
material,organic-and-environmental,soil,soil,,,
material,organic-and-environmental,water,water,,,
material,organic-and-environmental,plants,plants,,,
material,organic-and-environmental,ash,ash,,,
material,organic-and-environmental,salt,salt,,,
material,organic-and-environmental,hair,hair,,,
material,organic-and-environmental,wax,wax,,,
material,organic-and-environmental,smoke,smoke,,,
material,organic-and-environmental,shell,shell,,,
material,organic-and-environmental,seed,seed,,,
material,organic-and-environmental,bone,bone,,,
material,organic-and-environmental,leaf,leaf,,,
material,organic-and-environmental,bark,bark,,,
material,organic-and-environmental,root,root,,,
material,organic-and-environmental,animal trace,animal-trace,,,
material,organic-and-environmental,weathered matter,weathered-matter,,,
material,organic-and-environmental,organic residue,organic-residue,,,
material,organic-and-environmental,compost,compost,,,
material,organic-and-environmental,natural pigment,natural-pigment,,,
material,organic-and-environmental,living material,living-material,,,
material,synthetic-and-manufactured,plastic,plastic,,,
material,synthetic-and-manufactured,vinyl,vinyl,,,
material,synthetic-and-manufactured,resin,resin,,,
material,synthetic-and-manufactured,rubber,rubber,,,
material,synthetic-and-manufactured,acrylic,acrylic,,,
material,synthetic-and-manufactured,foam,foam,,,
material,synthetic-and-manufactured,silicone,silicone,,,
material,synthetic-and-manufactured,laminate,laminate,,,
material,synthetic-and-manufactured,artificial colour,artificial-colour,,,
material,synthetic-and-manufactured,disposable material,disposable-material,,,
material,synthetic-and-manufactured,manufactured surface,manufactured-surface,,,
material,synthetic-and-manufactured,synthetic skin,synthetic-skin,,,
material,synthetic-and-manufactured,industrial coating,industrial-coating,,,
material,synthetic-and-manufactured,polymer,polymer,,,
material,synthetic-and-manufactured,Perspex,perspex,,,
material,synthetic-and-manufactured,adhesive,adhesive,,,
material,synthetic-and-manufactured,tape,tape,,,
material,synthetic-and-manufactured,bubble wrap,bubble-wrap,,,
material,synthetic-and-manufactured,nylon,nylon,,,
material,synthetic-and-manufactured,polyester,polyester,,,
material,synthetic-and-manufactured,imitation material,imitation-material,,,
material,synthetic-and-manufactured,mass-produced object,mass-produced-object,,,
material,digital-and-coded,website,website,,,
material,digital-and-coded,game engine,game-engine,,,
material,digital-and-coded,AI image,ai-image,,,
material,digital-and-coded,3D model,3d-model,,,
material,digital-and-coded,sensor,sensor,,,
material,digital-and-coded,map,map,,,
material,digital-and-coded,file,file,,,
material,digital-and-coded,pixel,pixel,,,
material,digital-and-coded,database,database,,,
material,digital-and-coded,render,render,,,
material,digital-and-coded,digital archive,digital-archive,,,
material,digital-and-coded,hyperlink,hyperlink,,,
material,digital-and-coded,metadata,metadata,,,
material,digital-and-coded,screen space,screen-space,,,
material,digital-and-coded,interactive system,interactive-system,,,
material,digital-and-coded,generative image,generative-image,,,
process,collect-and-archive,collecting,collecting,,,
process,collect-and-archive,sorting,sorting,,,
process,collect-and-archive,cataloguing,cataloguing,,,
process,collect-and-archive,preserving,preserving,,,
process,collect-and-archive,storing,storing,,,
process,collect-and-archive,indexing,indexing,,,
process,collect-and-archive,classifying,classifying,,,
process,collect-and-archive,gathering,gathering,,,
process,collect-and-archive,accumulating,accumulating,,,
process,collect-and-archive,labelling,labelling,,,
process,collect-and-archive,documenting,documenting,,,
process,collect-and-archive,inventory,inventory,,,
process,collect-and-archive,selecting,selecting,,,
process,collect-and-archive,saving,saving,,,
process,collect-and-archive,ordering,ordering,,,
process,collect-and-archive,filing,filing,,,
process,collect-and-archive,grouping,grouping,,,
process,collect-and-archive,keeping,keeping,,,
process,collect-and-archive,archive-building,archive-building,,,
process,collect-and-archive,collection logic,collection-logic,,,
process,collect-and-archive,material research,material-research,,,
process,cut-and-remove,cutting,cutting,,,
process,cut-and-remove,tearing,tearing,,,
process,cut-and-remove,burning,burning,,,
process,cut-and-remove,erasing,erasing,,,
process,cut-and-remove,sanding,sanding,,,
process,cut-and-remove,deleting,deleting,,,
process,cut-and-remove,obscuring,obscuring,,,
process,cut-and-remove,scratching,scratching,,,
process,cut-and-remove,scraping,scraping,,,
process,cut-and-remove,censoring,censoring,,,
process,cut-and-remove,editing out,editing-out,,,
process,cut-and-remove,excision,excision,,,
process,cut-and-remove,removal,removal,,,
process,cut-and-remove,damage,damage,,,
process,cut-and-remove,subtraction,subtraction,,,
process,cut-and-remove,fragmenting,fragmenting,,,
process,cut-and-remove,piercing,piercing,,,
process,cut-and-remove,trimming,trimming,,,
process,cut-and-remove,cropping,cropping,,,
process,cut-and-remove,breaking apart,breaking-apart,,,
process,cut-and-remove,concealment,concealment,,,
process,cut-and-remove,reduction,reduction,,,
process,join-and-repair,stitching,stitching,,,
process,join-and-repair,gluing,gluing,,,
process,join-and-repair,wrapping,wrapping,,,
process,join-and-repair,patching,patching,,,
process,join-and-repair,casting,casting,,,
process,join-and-repair,moulding,moulding,,,
process,join-and-repair,assembling,assembling,,,
process,join-and-repair,fastening,fastening,,,
process,join-and-repair,suturing,suturing,,,
process,join-and-repair,reconstruction,reconstruction,,,
process,join-and-repair,joining,joining,,,
process,join-and-repair,welding,welding,,,
process,join-and-repair,taping,taping,,,
process,join-and-repair,tying,tying,,,
process,join-and-repair,weaving together,weaving-together,,,
process,join-and-repair,connecting,connecting,,,
process,join-and-repair,holding,holding,,,
process,join-and-repair,restoration,restoration,,,
process,join-and-repair,provisional fix,provisional-fix,,,
process,layer-and-transform,layering,layering,,,
process,layer-and-transform,folding,folding,,,
process,layer-and-transform,staining,staining,,,
process,layer-and-transform,soaking,soaking,,,
process,layer-and-transform,enlarging,enlarging,,,
process,layer-and-transform,shrinking,shrinking,,,
process,layer-and-transform,distorting,distorting,,,
process,layer-and-transform,translating,translating,,,
process,layer-and-transform,remixing,remixing,,,
process,layer-and-transform,mutating,mutating,,,
process,layer-and-transform,compressing,compressing,,,
process,layer-and-transform,covering,covering,,,
process,layer-and-transform,coating,coating,,,
process,layer-and-transform,building up,building-up,,,
process,layer-and-transform,changing scale,changing-scale,,,
process,layer-and-transform,filtering,filtering,,,
process,layer-and-transform,reworking,reworking,,,
process,layer-and-transform,adapting,adapting,,,
process,layer-and-transform,reformatting,reformatting,,,
process,layer-and-transform,overprinting,overprinting,,,
process,layer-and-transform,alteration,alteration,,,
process,repeat-and-sequence,rhythm,rhythm,,,
process,repeat-and-sequence,pattern,pattern,,,
process,repeat-and-sequence,seriality,seriality,,,
process,repeat-and-sequence,looping,looping,,,
process,repeat-and-sequence,counting,counting,,,
process,repeat-and-sequence,copying,copying,,,
process,repeat-and-sequence,variation,variation,,,
process,repeat-and-sequence,iteration,iteration,,,
process,repeat-and-sequence,sequence,sequence,,,
process,repeat-and-sequence,recurrence,recurrence,,,
process,repeat-and-sequence,rehearsal,rehearsal,,,
process,repeat-and-sequence,duplication,duplication,,,
process,repeat-and-sequence,modularity,modularity,,,
process,repeat-and-sequence,multiples,multiples,,,
process,repeat-and-sequence,repeated gesture,repeated-gesture,,,
process,repeat-and-sequence,repeated action,repeated-action,,,
process,observe-and-document,observing,observing,,,
process,observe-and-document,photographing,photographing,,,
process,observe-and-document,filming,filming,,,
process,observe-and-document,note-taking,note-taking,,,
process,observe-and-document,measuring,measuring,,,
process,observe-and-document,witnessing,witnessing,,,
